Datetime,Text
2022-06-27 23:43:01+00:00,"💥Dr. David Martin :

En mars 2021, le #NTI Nuclear Threat Initiative, financé par le co-fondateur de #Facebook Dustin #Moskowittz, a pévu qu'en mai 2022 nous aurions une épidémie de #Variole du #Singe #Monkeypox https://t.co/1aDjMnh6Xk"
2022-06-27 23:42:53+00:00,"@mrbenwexler They included Muslims, dumb💩"
2022-06-27 23:42:19+00:00,@michaelmalice Nasal monkey pox ...
2022-06-27 23:42:10+00:00,"@LoFiRepublican Pregnancy is the least of dude’s concerns when there’s Herpes, Warts, HIV, Monkey Pox and some flesh eating penile disease from the tropics. There’s also Plan B at CVS for PhucksSake"
2022-06-27 23:41:55+00:00,Experts warn that monkeypox is mutating at 12 times the expected rate https://t.co/uYYPQT0BXq
2022-06-27 23:41:55+00:00,@VicGovDH @NSWHealth Does Victoria have adequate “monkeypox” vaccine supplies? (3 of 3)
2022-06-27 23:41:50+00:00,@xrpdaron Don't worry he will wind up with the monkeypox..
2022-06-27 23:41:31+00:00,@VicGovDH @NSWHealth Per WHO: “At the present time the original (1st-generation) smallpox vaccines are no longer available to the general public … A still newer vaccine … was approved for the prevention of monkeypox in 2019. This is a 2-dose vaccine for which availability remains limited.” (2 of 3)
2022-06-27 23:41:30+00:00,"06/28 サル痘(Monkeypox)感染状況

4408人(+179)

■感染拡大国
1位 イギリス 910人
2位 ドイツ 765人
3位 スペイン 738人
4位 ポルトガル 365人
5位 フランス 332人
6位 カナダ 279人
7位 オランダ 257人
8位 アメリカ 201人
9位 イタリア 128人
10位 ベルギー 77人

#GKmnkypx https://t.co/Pbm5eHnS1y"
2022-06-27 23:41:01+00:00,"Join @WCMpeds and @WCMEmergency experts to learn more about pediatric issues, like COVID-19 vaccines, hepatitis and monkeypox in the news. 

📅 Tuesday, June 28, 5:30 - 6:30 p.m. 
Register here: https://t.co/NWEeAja69m https://t.co/6ZnNTBIv2B"
2022-06-27 23:40:26+00:00,#Monkeypox found to be evolving at a faster rate than #expected. https://t.co/WnA29hAeSO
2022-06-27 23:40:10+00:00,"The origins of the monkeypox outbreak are finally being revealed. Although the monkeypox virus is rapidly spreading in the wild, genetic analysis indicates that it has been silently circulating in humans for years. @nytimes
https://t.co/5Lte7yxJ62"
2022-06-27 23:39:41+00:00,Kyrie and monkey pox vaccine running it back&gt;&gt;&gt; Kyrie and Bron https://t.co/LODPqsmu1g https://t.co/fYePx3z074
2022-06-27 23:39:36+00:00,@__shanneng AAHAHAHAHAHHH
2022-06-27 23:39:30+00:00,Is it possible they aren't real happy with Dems for refusing to give SCOTUS and their families more protection? Lots of wins lately. Hopefully it's not pick your battle wins leading up to monkeypox mandates. That is also possible. https://t.co/gwIktnC22a
2022-06-27 23:39:25+00:00,Monkeypox in Broward: How the rise in cases is unfolding https://t.co/GOxWCDg55Z
2022-06-27 23:39:02+00:00,"CDC has gone stealth since covid. We need more transparency and better access to testing and vaccines for monkeypox,"
2022-06-27 23:39:00+00:00,"Nanopore sequencing of a monkeypox virus strain isolated from a pustular lesion in the Central African Republic
https://t.co/8ngBeQOpk4 #maskotlib"
2022-06-27 23:38:57+00:00,@LANACION monkeypox
2022-06-27 23:38:45+00:00,Except for when people notice me then idk I don't know anybody lol
2022-06-27 23:38:36+00:00,@libsoftiktok I don’t know whether to get a wipe for her face or lead her to pasture. Mad cow disease is the next monkey pox.
2022-06-27 23:38:26+00:00,@EnemyInAState Is Monkey pox (resembling shingles) a cover for AIDS due to a destroyed immune system???
2022-06-27 23:38:25+00:00,Who's ready? WhooooooOoOOoOo's ready???? #collapse #monkeypox #GallowsHumor https://t.co/bEPDIH59sO
2022-06-27 23:37:43+00:00,"Experts warn that monkeypox is mutating at 12 times the expected rate

https://t.co/Yb4i3ILZak"
2022-06-27 23:37:42+00:00,"#AskingForAFriend - if someone with #monkeypox touches an atm screen, then I touch the same atm screen, can I get #monkeypox and will the bank pay me money for getting me sick?"
2022-06-27 23:37:41+00:00,"I am by no means an infectious disease expert but...if Monkeypox cases keep doubling every 10 days like they have been for several 10 day periods in a row.....everyone in the world will have it within 220 days.

Seems like something we should be doing more about."
2022-06-27 23:37:15+00:00,"Taiwan in talks to buy vaccine, medication for monkeypox - Focus Taiwan https://t.co/DDkzCHS5Df"
2022-06-27 23:37:00+00:00,@itzelita0204 kyc
2022-06-27 23:36:59+00:00,"Freedom,  I guess !
Some were riding bicycles in the nude !
I'd recommend not sharing bikes w/o a full detailing !
Are there any ppl w/ MonkeyPox ? 
CDC put out does &amp; don't for gay ppl ! https://t.co/OHDIcla7C0"
2022-06-27 23:36:48+00:00,"Lab Wuhan yang terkenal baru-baru ini mengumpulkan genom Virus Monkeypox, memungkinkan virus untuk di identifikasi melalui tes PCR, menggunakan metode yang ditandai oleh para peneliti karena berpotensi menciptakan ""Patogen Menular"".

https://t.co/RzoAPW6IJn"
2022-06-27 23:36:26+00:00,@ItsDanaWhite This is why monkey pox is spreading like wild fire.
2022-06-27 23:35:35+00:00,@mcoulter1986 @RBReich 12% effective and the vaxxed are now getting monkey pox ROFL
2022-06-27 23:35:18+00:00,CDC Issues New Emergency Guidance on Monkeypox https://t.co/5XFd4gAgBY #politics
2022-06-27 23:35:14+00:00,@DrEricDing @CDCgov @CDCDirector @mdc_martinus Everyone who’s paying attention knows monkeypox  is aerosolized. They’re worried masks will depress voters for Dem candidates and democracy is more important than infectious disease. They kind of have a point there.
2022-06-27 23:34:40+00:00,@CaptainWoosah @billyintexxas33 @PeaceInTheC2022 @YellowRoses54 @PA4TRUMPD @Scrapparts4me @HowellDori @iampamalee @vanderschlong @PaulaJo41820905 @JaxBeachGirl4 @JReturns3 @USSGoodGirl @stillnotkim @DSSdeltona @Amy_Penkalski46 @Mickultra12 @1776FreeSpeech @NickiBobbi1 🤣🤣🤣🤣🤣 https://t.co/MZ0UnBvvBO
2022-06-27 23:34:27+00:00,@TheAwesome1MS @FiveTimesAugust Bet you have monkeypox
2022-06-27 23:33:57+00:00,@alyssaharad And now the CDC is doing the same nothing burger approach to monkey pox. Could you please pass that big box of Kleenex? I feel a crying jag coming on.
2022-06-27 23:33:50+00:00,"@ThriveMovement Dr.Rima Laibow:""Gates and USA funded the Serum Institute in Denmark, where supposedly monkeypox was held in the only place in the world and they funded gain of function research on this particular virus there""."
2022-06-27 23:33:46+00:00,@ReneeAZpatriot3 @israelUSAforeve 3rd stage monkey pox?
2022-06-27 23:33:41+00:00,"Now for the main festivus. It's full of people getting high because fuck electeicity after last call lol

I also get so high I wanted about here in pitch black darkness.

Us stoners have a mental connection yano 👉👉 https://t.co/B9sRlwUxwr"
2022-06-27 23:33:10+00:00,@FoxNews Thought this monkey pox wanted to defund the police
2022-06-27 23:32:53+00:00,@thebradfordfile Tents? https://t.co/aNL2SARMih
2022-06-27 23:32:36+00:00,"@CTVNews Bunny pox now, since your monkeypox narrative failed to scare the masses? https://t.co/3FdyJBus6R"
2022-06-27 23:32:32+00:00,Important information for members of the #LGBTQ+ community in DC: A limited number of #monkeypox  vaccines are available via @_DCHealth. Visit DC Health to learn more and schedule an appointment: https://t.co/Ekhp2Fb9xV Note that appointments will be available again starting Wed.
2022-06-27 23:32:29+00:00,"accessible, providing vaccines for Monkey Pox, cleaning up Flint’s water, stopping evictions, or any of the many other public health threats that Dems seem incapable of addressing. But when it comes to pathologizing and regulating behavior that is associated with lower-class"
2022-06-27 23:32:19+00:00,@benshapiro Hey look Monkey pox..LMAO
2022-06-27 23:31:34+00:00,@MerissaHansen17 Next month we will probably see a rise in monkey pox cases
2022-06-27 23:31:22+00:00,Let's go on lockdown again!! #monkeypox
2022-06-27 23:31:04+00:00,@badger0929 @4519steven 🤪🤪🤪🤪🤪 https://t.co/DRbYVKIPON
2022-06-27 23:31:00+00:00,"Today marked the debut of ""Drivetime with DeRusha"" on @wccoradio!

Our first hour included visits with a Mayo doctor to talk Monkeypox, @Timberwolves coach Chris Finch and... my mom(s)?

https://t.co/jvTJWu3OVh"
2022-06-27 23:30:48+00:00,"COVID is airborne 
Monkey Pox is airborne 
Please wear a mask https://t.co/2ECYteEMN4"
2022-06-27 23:30:41+00:00,"https://t.co/xBA1l2XIun
Article on the rise of monkeypox cases in Africa.
Could researchers and other people please stop saying ""bushmeat?"" 
When Americans hunt rabbits or deer, is that ""bushmeat?""
Why use the term ""bush""? It's insulting.
These people are hunting for food-ok?"
2022-06-27 23:30:22+00:00,#Monkeypox in #Broward: How the rise in cases is unfolding https://t.co/gCKUVSg07D
2022-06-27 23:30:11+00:00,"Monkeypox has been in central and west Africa for decades, but until recently had never been at the center of a multiple country outbreak. https://t.co/bkDYdhzWaK"
2022-06-27 23:30:11+00:00,"Monkeypox has been in central and west Africa for decades, but until recently had never been at the center of a multiple country outbreak. https://t.co/n2FSnZlHpJ"
2022-06-27 23:30:00+00:00,"Today marked the debut of ""Drivetime with @DeRushaJ on WCCO Radio!

His first hour included visits with a Mayo doctor to talk Monkeypox, @Timberwolves coach Chris Finch and... his mom(s)?

https://t.co/XiIySDdaEO"
2022-06-27 23:29:33+00:00,@itzelita0204 Pride entonces
2022-06-27 23:29:22+00:00,"People need to stop having sex with their pets immediately. 

#monkeypox https://t.co/gsDNKEvLVj"
2022-06-27 23:29:18+00:00,"@fi_lowenstein monkey pox see, monkey pox do."
2022-06-27 23:29:03+00:00,@TPostMillennial Hey look Monkey pox..LMAO
2022-06-27 23:28:36+00:00,The ​First Case of Monkeypox Was Just Discovered in Mecklenburg County https://t.co/CDN0VAQg38 https://t.co/u2Qpw7Is4W
2022-06-27 23:28:26+00:00,I’m not getting monkey pox! TUH https://t.co/DlV1O0g6YM
2022-06-27 23:28:08+00:00,@CTVNews Bunnypox is 5X more dangerous than Monkeypox. Experts say .
2022-06-27 23:28:03+00:00,BREAKING: Chicago reports 42 confirmed monkeypox cases in its city. That’s an increase from the 27 cases that the CDC was reporting for all of Illinois.
2022-06-27 23:27:31+00:00,@Scrapparts4me @PA4TRUMPD @billyintexxas33 @YellowRoses54 @HowellDori @iampamalee @vanderschlong @PaulaJo41820905 @JaxBeachGirl4 @JReturns3 @USSGoodGirl @stillnotkim @DSSdeltona @CaptainWoosah @Amy_Penkalski46 @Mickultra12 @1776FreeSpeech @NickiBobbi1 My Wife said she was jealous
2022-06-27 23:27:18+00:00,Dr. Janet Pope even has a special note about monkeypox! She notes in the UK how they are considering re-vaccinating special immunocompromised people w/ small pox vaccinations (I believe these are no longer typically administered). #CAPAChat @CAPA_Arthritis https://t.co/OzTTNf83Fy
2022-06-27 23:26:56+00:00,"@ontarioisproud When monkeypox didn’t scare the masses, bring on bunny pox.  Maybe that’ll work"
2022-06-27 23:26:32+00:00,MonkeyPox Vaccine Has HIGHER Rates of Heart Disease Side Effects than COVID Vaccines and the CDC Wants to Inject them Into Your Children https://t.co/xObgz29hOj
2022-06-27 23:26:22+00:00,@CP24 All those who attended the pride parade should take a test for Monkeypox https://t.co/Z8SG4uVwmP
2022-06-27 23:26:20+00:00,Health officials confirm 1st case of monkeypox in Mecklenburg County - WSOC Charlotte https://t.co/1Ml8JrTIZ7 via @GoogleNews
2022-06-27 23:25:57+00:00,@YesMissMurphy Not to make light of your achievements of course. Intermittent confidence swings aside. You have come a long way from dengue fever neighbourhood to make it big on plague and monkeypox island.
2022-06-27 23:25:35+00:00,"As the summer season begins with increased gatherings, Bay Area Health Officers urge people to protect themselves against the monkeypox virus, which spreads through prolonged skin-to-skin contact and bodily fluids. 

Read the full article here: https://t.co/m1tgDdovtU https://t.co/YP2Z9BHu1Y"
2022-06-27 23:25:35+00:00,"@ReadyF4Any Someone ought to tell Barbie to wear some pants, cause no one wants to see the cock and balls of a pervert. It's a good thing he's wearing a face mask. Wouldn't want him to get COVID or the monkey pox. 🤦"
2022-06-27 23:24:51+00:00,@CTVNews Monkeypox🐒 is done now we’re onto the Bunnypox🐰. 🤪
2022-06-27 23:24:11+00:00,"@globeandmail Who’s getting monkey pox???  

The vaccinated or unvaccinated?  

ASKING FOR MILLIONS…"
2022-06-27 23:24:08+00:00,"Dr_Kkjetelina - Monkeypox is not a Public Health Emergency of International Concern, but perhaps it should be, by @dr_kkjetelina https://t.co/VtdgumeZuX"
2022-06-27 23:23:36+00:00,"Apecoin ($APE, +9.4%) pumps on reports Experts warn that monkeypox is mutating at 12 times the expected rate"
2022-06-27 23:23:31+00:00,"@midnightriderV2 @arscott631 He’s with the boys , he’ll have Monkey pox next"
2022-06-27 23:22:43+00:00,Monkeypox found to be evolving at a faster rate than expected https://t.co/NKAjazCRXT via @medical_xpress
2022-06-27 23:22:26+00:00,@SerkowyBandyta @EldianLifter Monkey pox free
2022-06-27 23:21:33+00:00,@JhDesignbyJill @CrnchyMama @DonEford @pjhn22 Monkey pox is airborne.
2022-06-27 23:20:52+00:00,@narendramodi @JiteshSingh_83 @POTUS @JoeBiden @JustinTrudeau @G7 Monkeypox se bachna .
2022-06-27 23:20:38+00:00,#Monkeypox https://t.co/ZGGZcQtj7l
2022-06-27 23:20:36+00:00,"A couple of weeks ago, I suspected that there will be at least 2000 cases of monkeypox by now. Currently, we have over 4000 confirmed cases. I suspect there's a lot more coming."
2022-06-27 23:20:33+00:00,Local Monkeypox Answers After Odd Questions from Media https://t.co/DlVVKqMctl
2022-06-27 23:20:26+00:00,It appears I’ve had a stroke
2022-06-27 23:20:16+00:00,@Justme7779 @FiveTimesAugust You have to watch these modern day translations. Lot of times they change what the Bible says. As for monkey pox it is not an std. And while AIDS is a lot of ppl who got it did not get it from sex. But your actions can effect others.
2022-06-27 23:20:07+00:00,@Pyrrhvc @BronzeAgeBrah @jihadjonnybravo @alwaysonline100 @grecian_the Woe monkeypox upon ye
2022-06-27 23:20:02+00:00,"@TruSlimer @SystemArcane @KeffalUpdates @libsoftiktok Fear zee monkeypox baby, is ravaging the lgbt community"
2022-06-27 23:19:55+00:00,@chicagotribune Spank the monkeypox. https://t.co/QhL2ktOOGl
2022-06-27 23:19:37+00:00,"@BJDaz1 Well, I guess we'll see soon how much Pride they have when they come down with Monkey Pox!"
2022-06-27 23:19:04+00:00,"Wed June 29, 1:00pm-2:00pm CT. Monkeypox: Updates about Clinical Diagnosis and Treatment. CDC COCA (Clinician Outreach and Communication) Call. https://t.co/NcJoGUj6m9 @CDCgov #monkeypox https://t.co/rFsoy9hrYM"
2022-06-27 23:18:58+00:00,The monkeypox numbers are gonna go fucking CRAZY next week. 😒
2022-06-27 23:18:47+00:00,Monkeypox public health strategy. https://t.co/YhJ30s9HfN
2022-06-27 23:18:40+00:00,Experts warn that monkeypox is mutating at 12 times the expected rate https://t.co/Ee7ZUMLD7Y
2022-06-27 23:18:33+00:00,Monkeypox Test Kit in Development by Becton Dickinson in Partnership with CerTest Biotec https://t.co/Qx5XfkEtY0
2022-06-27 23:18:30+00:00,"@globeandmail To avoid questions on his return to Canada, Trudeau will claim he has contacted Monkey Pox and will require self isolation"
2022-06-27 23:18:28+00:00,@stillgray Didn't the WHO just come out and say that monkey pox wasn't a big deal?
